f_dyn_id,lesion_id,A_inside,alpha_inside,beta_inside,iAUC1_inside,Slope_ini_inside,Tpeak_inside,Kpeak_inside,SER_inside,maxCr_inside,peakCr_inside,UptakeRate_inside,washoutRate_inside,maxVr_inside,peakVr_inside,Vr_increasingRate_inside,Vr_decreasingRate_inside,Vr_post_1_inside,A_countor,alpha_countor,beta_countor,iAUC1_countor,Slope_ini_countor,Tpeak_countor,Kpeak_countor,SER_countor,maxCr_countor,peakCr_countor,UptakeRate_countor,washoutRate_countor,maxVr_countor,peakVr_countor,Vr_increasingRate_countor,Vr_decreasingRate_countor,Vr_post_1_countor
102,102,0.6003545604901785,0.5460516842312053,0.00010000780357618122,0.8991564771769914,0.327824618891547,15.759321086594523,-3.27850200935423e-5,0.8125183203607982,0.6295194429703482,3.0,0.20983981432344942,0.01794403186697291,0.05835064502614853,3.0,0.019450215008716177,0.007930870410742842,0.05265660582213473,0.5826318578155245,0.3167490011220784,0.00010000152808651524,0.6081223790063182,0.18454805898496818,25.44915725622126,-1.8455087903897166e-5,0.6611964566016983,0.5614604223127508,3.0,0.1871534741042503,0.00843419879548124,0.05835064502614853,3.0,0.019450215008716177,0.014006801306127185,0.03432368254100043
103,103,1.3327432147832785,19.35567650745113,0.03190405621021089,3.7037177111857855,25.796146532845597,0.33115116409492096,-0.8230017089907427,1.176070683164464,1.361734186103139,1.0,1.361734186103139,0.03779865384784017,0.8111140435692904,3.0,0.27037134785643013,0.14029387945242155,0.6837817257193063,1.0570516838456232,20.715716909901246,0.0001000131256003278,3.0844285094929176,21.897583441680364,0.5909091482994127,-0.0021900457630964366,1.0005085293123468,1.1978844052912099,4.0,0.29947110132280247,0.0,0.8111140435692904,3.0,0.27037134785643013,0.4352562726277899,0.33190935610991
104,104,4.0336868467072415,0.09428492612721495,0.06573793001280177,7.147720627720286,0.3803158663621109,9.435660738069927,-0.02500117780567052,0.5550177208212413,1.2630099733827087,4.0,0.3157524933456772,0.0,0.36194209172300734,1.0,0.36194209172300734,0.019582291992615502,0.36194209172300734,2.247745910322074,0.08489714907480828,0.03545447404321709,3.019435008825217,0.19082721963090374,14.395868553266434,-0.006765678705143163,0.4701951841129917,0.8146266097414445,4.0,0.20365665243536113,0.0,0.10817903263363061,3.0,0.03605967754454354,0.0009474158140524852,0.041836180014231374
105,105,65.86837467478504,0.0015802556250568145,0.0505117184413831,428.22651092686857,0.1040888695931789,19.4940173405371,-0.005257707673772495,0.516746315541436,0.731206320428907,4.0,0.18280158010722675,0.0,0.17092452797631472,1.0,0.17092452797631472,0.0033859865076908044,0.17092452797631472,82.09232179223373,0.0014268515470168275,0.042789321491198504,532.1441058859555,0.11713355634745193,22.98911507521984,-0.0050120653999585355,0.4967901776061915,0.731206320428907,4.0,0.18280158010722675,0.0,0.09664017849177722,4.0,0.024160044622944306,0.0,0.050758692209862365
106,106,2.4774811911932066,1.838184283280758,0.04123671402967404,4.434364637751523,4.554066987775043,2.07780584689051,-0.18779475804685852,1.2000160622660403,2.2775191801455654,1.0,2.2775191801455654,0.11959601040456813,0.45351637259921457,1.0,0.45351637259921457,0.07210481407118825,0.23696676127257957,2.4212166748246444,1.2962624184562124,0.03318758063651092,3.9230426957787414,3.138532182514702,2.8469118751745626,-0.10416028988749129,1.1190387152103352,2.2508574071569782,1.0,2.2508574071569782,0.07888246666917424,0.45351637259921457,1.0,0.45351637259921457,0.06854951460868437,0.45351637259921457
107,107,72.66429709825039,0.00611017824100224,0.08451471717426055,391.59090309698126,0.4439918070274517,11.424097537263911,-0.03752384199861395,0.560285470334134,1.8984793935193993,4.0,0.47461984837984983,0.0,0.7447761056905114,1.0,0.7447761056905114,0.046415133305377276,0.7447761056905114,157.89055167227247,0.002994816140312384,0.1103814709647479,900.6441832493874,0.47285317255094805,8.938771350034427,-0.0521942287365214,0.6391840059547607,1.6880674678514738,4.0,0.42201686696286844,0.0,0.5808168982093134,4.0,0.14520422455232834,0.0,0.16138539072194738
108,108,122.34379544824986,0.00214006266999367,0.04044893085820545,672.3213460884149,0.26182338954414097,24.090715085851905,-0.01059047618073195,0.43663048569591983,1.5885641845225864,4.0,0.3971410461306466,0.0,0.9043694389279776,1.0,0.9043694389279776,0.037460191793908616,0.9043694389279776,131.93492257299522,0.001844287237539266,0.05643787661455787,741.2666997656905,0.24332589388710632,17.435247750801953,-0.013732796776327508,0.4757516532905764,1.3299524972686272,4.0,0.3324881243171568,0.0,0.647027522264323,4.0,0.16175688056608076,0.0,0.17951708538134445
109,109,1.8249835180285845,0.4749055824959336,0.010641932812521827,2.856643331535992,0.8666948606748431,8.044704399867427,-0.009223308476259648,0.8428494703000644,1.6623960475759185,4.0,0.41559901189397963,0.0,0.20920634933262586,1.0,0.20920634933262586,0.007851227688425055,0.20920634933262586,1.351155976375277,0.35132660219160994,0.00010000097963422632,1.7430097299318494,0.4746970382108132,23.239276857748646,-4.747016885054709e-5,0.7158828009387357,1.3122502538873744,4.0,0.3280625634718436,0.0,0.20106637782337358,2.0,0.10053318891168679,0.006431865566943529,0.19771376621432066
110,110,1.9974241791592813,0.36405244799820435,0.00010000177073662955,1.9603238159052445,0.7271671621137402,22.524611574177506,-7.271800383290378e-5,0.6647289746151136,1.9617991946546005,4.0,0.4904497986636501,0.0,0.5250659868364681,1.0,0.5250659868364681,0.02285473390601761,0.5250659868364681,1.6264158349570375,0.3386404474505511,0.00010000127877816744,1.5142027451176334,0.5507701860905129,24.001286741284506,-5.507772292194054e-5,0.6452437131983056,1.6221292992780711,4.0,0.4055323248195178,0.0,0.3921828145566844,4.0,0.0980457036391711,0.0,0.15591065293626102
111,111,1.9990474352333245,0.4516363038074187,0.015595441193238873,2.3251080414977663,0.9028423947844789,7.527841999295353,-0.014080225474624295,0.7861582967492416,1.7606793818126176,4.0,0.4401698454531544,0.0,0.44188039331087187,1.0,0.44188039331087187,0.016437440751244425,0.44188039331087187,1.360662613180578,0.4559919139228503,0.0018191323372060903,1.564650103772569,0.6204511491874787,12.12323446497965,-0.0011286827491436228,0.7354990383532214,1.3213043182959117,4.0,0.3303260795739779,0.0,0.18252480239942429,4.0,0.04563120059985607,0.0,0.1518275832526968
112,112,57.970036179066824,0.0018375861198038912,0.15900763853793526,357.537350932875,0.10652493384718259,6.252943883496588,-0.016938278176450276,0.8298067513783984,0.2564363968698206,3.0,0.08547879895660687,0.0235976548364914,0.006006130926140153,1.0,0.006006130926140153,0.0004412695668648871,0.006006130926140153,62.12975695088502,0.0018915062032442975,0.17319325014157216,386.0738684904744,0.11751882067865953,5.742595360928931,-0.020353466506141643,0.8875503535873289,0.2564363968698206,3.0,0.08547879895660687,0.02535503997594335,0.005160039147128531,1.0,0.005160039147128531,0.0009498071331760903,0.005160039147128531
113,113,2.002444246860508,0.9800000563826974,0.03537831734938385,2.7848983045917715,1.962395474826506,3.4254257986220122,-0.06942624987340693,1.0713469271035654,1.911109152228431,2.0,0.9555545761142155,0.13830749700024214,0.5234554921835463,4.0,0.13086387304588656,0.0,0.3553066851527636,2.1084485953041643,0.8773313717768596,0.027058640095110116,2.81387922475423,1.8498080984391951,3.9999188938130037,-0.05005329158068621,0.9990422831501578,1.911109152228431,2.0,0.9555545761142155,0.040006871658601284,0.5234554921835463,4.0,0.13086387304588656,0.0,0.17653027514509378
114,114,1.6350490530711466,0.528928666710581,0.003803008525752931,2.5075551954090765,0.8648243156473195,9.34384107743098,-0.0032889342456852,0.826720177174252,1.690926749493425,4.0,0.42273168737335626,0.0,0.5503722393708851,1.0,0.5503722393708851,0.008399510956593673,0.5503722393708851,1.6845338020760021,0.2392033007415726,0.011256659881577953,1.680729046634603,0.40294604566733067,12.96946621276787,-0.004535826586703919,0.6333348554751624,1.4595779774076505,4.0,0.3648944943519126,0.0,0.5107631680440042,4.0,0.12769079201100106,0.0,0.34941481262206775
115,115,1.1507566799151063,0.5370495069994801,0.00010000162358010821,1.2375224584782152,0.6180133076247664,15.992650986010274,-6.18023341565895e-5,0.7451232294855259,1.156394339228843,4.0,0.28909858480721073,0.0,0.22413235433054038,1.0,0.22413235433054038,0.03034775316474748,0.15761356801223514,1.1559108652540253,0.777701478360062,0.00010000136146662754,1.5502749130145062,0.8989535887605139,11.51989941111718,-8.98965827713622e-5,0.8528124029918729,1.156394339228843,4.0,0.28909858480721073,0.0,0.22413235433054038,1.0,0.22413235433054038,0.03657916794916602,0.22413235433054038
116,116,1.9590563457865482,0.7984948809817114,0.028196028341930357,2.7046839465603547,1.5642964636652963,4.230771952621115,-0.044106947424688125,0.9996744420973595,1.6879538911904763,2.0,0.8439769455952382,0.04916807254605404,0.08149277855521417,1.0,0.08149277855521417,0.00943398887967669,0.0537864655229853,1.9609592218109775,0.7062701490090844,0.028087149010040717,2.5539742179932228,1.384966961789177,4.621013015582464,-0.038899773429755986,0.9606806783082165,1.6605653082002714,2.0,0.8302826541001357,0.03656581561257699,0.08149277855521417,1.0,0.08149277855521417,0.017042327502116702,0.08149277855521417
117,117,3.262148969663481,0.39102359198634296,0.06936423410515476,4.27162163381282,1.275577207712362,4.840367428736512,-0.08847943605495989,0.9960331114966394,2.1082813676508265,2.0,1.0541406838254133,0.1271817864675746,0.5969489560528471,3.0,0.19898298535094905,0.020741665352446703,0.5643240063250344,3.099073825854087,0.4225696785860027,0.06491366847355313,4.088077572440116,1.3095746305054552,4.771279205282258,-0.08500929340600696,1.0041788413567898,2.0982636753277566,2.0,1.0491318376638783,0.12048903325941163,0.5969489560528471,3.0,0.19898298535094905,0.3376605752173584,0.43925425884081376
118,118,334.5605417083146,0.0018060505457915266,0.12023925575258067,1942.5397076266315,0.6042332489526103,8.254909137564713,-0.07265255615502565,0.6735609984484201,1.9263921192863198,4.0,0.48159802982157995,0.0,1.514651290940437,1.0,1.514651290940437,0.03519013802070692,1.514651290940437,1.3826960312247838,0.18249125444870384,0.00010000142525136138,0.8986459196692285,0.25232993325945496,41.15167569812004,-2.523335295952639e-5,0.5442468371961158,1.110473653513887,4.0,0.27761841337847176,0.0,0.2397700062169838,4.0,0.05994250155424595,0.0,0.12652284614497555
119,119,1.963523820984805,0.16428130956550824,0.044082064409175795,2.4945300027010715,0.3225702646744543,9.454700311755616,-0.014219563183864178,0.6345103455287692,1.0386885641130452,4.0,0.2596721410282613,0.0,0.14357406727072772,1.0,0.14357406727072772,0.01144955430537741,0.14357406727072772,1.0579598055102997,0.25361225537550425,0.010222609860157867,0.947756758127187,0.2683115723720969,12.817682931184528,-0.0027428445253254593,0.6161361049945948,0.8857836842399753,4.0,0.22144592105999383,0.0,0.08366011053927191,4.0,0.02091502763481798,0.0,0.06440903725258842
120,120,1.7659520903431005,12.70396332718874,0.08488728185495832,4.355425179393132,22.434590593291045,0.3947590696205777,-1.9044114149932936,1.5483184972052697,1.4594719045555467,4.0,0.36486797613888666,0.0,1.3987471964523082,4.0,0.34968679911307704,0.0,0.7611054343554563,1.4012634842985783,0.8097519211079591,0.01866550843216136,2.3950232889225402,1.1346757983892062,4.683952848485424,-0.02117930068260315,0.9943570043324764,1.4594719045555467,4.0,0.36486797613888666,0.0,1.3987471964523082,4.0,0.34968679911307704,0.0,0.3103852109997916
121,121,2.7061401952459665,0.36251040825102443,0.00010000013807139907,2.934237527379386,0.9810039869631223,22.60876523410977,-9.81005341449052e-5,0.6840001886792931,2.7080965376651056,4.0,0.6770241344162764,0.0,0.7932038488147536,1.0,0.7932038488147536,0.025453067696793712,0.7932038488147536,2.6020218496161345,0.3955121139890343,0.003973358142227384,3.023459991276437,1.0291311623873345,11.657204974373807,-0.004089106683491648,0.7225415084626725,2.5144431995127072,4.0,0.6286107998781768,0.0,0.44052919099778803,4.0,0.11013229774944701,0.0,0.29282865663925506
122,122,2.4603292678028366,0.33379070798255883,0.03398732423506472,3.2378276243943267,0.8212350481701194,7.134686159395599,-0.02791158185535684,0.8252757308168909,1.8021111377333445,4.0,0.45052778443333613,0.0,0.4588872349227325,4.0,0.11472180873068312,0.0,0.3710800005539999,4.0942691155637405,0.16073459133751422,0.0732774736539178,7.2688349673823485,0.6580906731159436,7.223830412820131,-0.04822322196114259,0.7850060863457068,1.7314515901114766,4.0,0.43286289752786916,0.0,0.4588872349227325,4.0,0.11472180873068312,0.0,0.28121291115966973
123,123,1.4618130423153404,0.42105160068804715,0.023265089459050304,1.8633164459913383,0.615498721373538,7.005278305429643,-0.014319632814686439,0.8227878800824238,1.2966033747223569,4.0,0.3241508436805892,0.0,0.1792487722179457,1.0,0.1792487722179457,0.005927575987903407,0.1792487722179457,1.4394789441103275,0.48964114929529945,0.016304557037609805,1.9704576445824413,0.7048281245805649,7.015310553734694,-0.011491910358935369,0.8415004051345121,1.2966033747223569,4.0,0.3241508436805892,0.0,0.14814717189143845,4.0,0.03703679297285961,0.0,0.12965151436516054
