f_texture_id,lesion_id,texture_contrast_zero,texture_contrast_quarterRad,texture_contrast_halfRad,texture_contrast_threeQuaRad,texture_homogeneity_zero,texture_homogeneity_quarterRad,texture_homogeneity_halfRad,texture_homogeneity_threeQuaRad,texture_dissimilarity_zero,texture_dissimilarity_quarterRad,texture_dissimilarity_halfRad,texture_dissimilarity_threeQuaRad,texture_correlation_zero,texture_correlation_quarterRad,texture_correlation_halfRad,texture_correlation_threeQuaRad,texture_ASM_zero,texture_ASM_quarterRad,texture_ASM_halfRad,texture_ASM_threeQuaRad,texture_energy_zero,texture_energy_quarterRad,texture_energy_halfRad,texture_energy_threeQuaRad
117,117,208.91756993006996,287.56016375934496,175.49720475192169,175.49720475192169,0.09804421459603271,0.09205575738889588,0.08539602579713301,0.11761378470448698,10.657430069930067,12.392666429334286,12.958653846153846,9.614430468204052,0.8350433516121127,0.7717307631622573,0.7481281142894263,0.8607454223702378,0.0005641168272287155,0.0005396375708907985,0.0005211287838036091,0.000595452179233807,0.023729114464416425,0.02321440824071475,0.0228101808754848,0.0243805723524137
118,118,315.1131513647642,253.02425044091711,169.33091517857142,169.33091517857142,0.0954621898563906,0.10297291992727504,0.11050060607114515,0.1306627527903319,12.11439205955335,10.91679264298312,10.556885856079404,8.91300843253968,0.7963882147029392,0.8371597378381552,0.841465398200929,0.8890214485956365,0.000629814234432821,0.0006514013460707485,0.0006709141734756083,0.0007568805336081214,0.0248707105947127,0.025317292280174073,0.02572885611594567,0.027317485374569912
119,119,92.1028734371573,65.70706371191135,58.60021929824562,58.60021929824562,0.1518433297157313,0.17031883849614682,0.1719408136752969,0.1849349996304434,7.0919609563500785,6.026011080332412,6.079156613292389,5.607291666666665,0.7837006994078419,0.8431109632771365,0.8352080563286639,0.8606261082572669,0.0009182437006726317,0.001017800661443666,0.0010131041400552655,0.001078357643698061,0.029958134039359034,0.031574254122985104,0.03154194976933886,0.032516459297919874
120,120,202.66283849129596,156.33925925925925,86.1169082125604,86.1169082125604,0.13003158869974715,0.1392871642810384,0.14248363378690101,0.17346866282669682,9.584743713733074,8.567654320987653,7.477756286266924,6.4248792270531405,0.5948092342670643,0.6928671519598457,0.784400992873844,0.8313580306739433,0.001987841344013407,0.002020149367474468,0.0020422651137906893,0.002274119582720719,0.04431775398478002,0.04472123440207494,0.04502104515223784,0.04750643834451825
121,121,358.33039168278526,313.65271604938266,121.5588164251208,121.5588164251208,0.07818289339277193,0.08320575567102514,0.09637360280269916,0.11647865961356765,14.415256286266924,13.330987654320985,10.589579303675052,8.36485507246377,0.6937936123507973,0.7315265158557449,0.8290249251740738,0.8970686994678839,0.0005377781633363142,0.0005671696387745764,0.0006158479211639842,0.0006950862330509459,0.023080424821146917,0.023679065555587825,0.024729396914075916,0.02622926867380238
122,122,91.97400284900282,99.32578524470419,28.840149359886205,28.840149359886205,0.17914897568130447,0.18221566485991136,0.21252917058956108,0.2582807356863004,6.686965811965813,7.090577063550036,5.485933048433049,3.8540184921763867,0.760904339596806,0.7488380450192257,0.8511927768859766,0.9282789522013242,0.0028448810277513976,0.002804321507063694,0.0032940327188902695,0.0037620090892719464,0.05311539237004321,0.05272462289496956,0.0571092659559787,0.06105847922450899
123,123,69.54915094339621,71.87254901960783,31.800810708898943,31.800810708898943,0.20706934186295917,0.2071150314878861,0.21219899524466132,0.25975960916348156,5.802924528301885,5.9644367550941935,5.397641509433961,3.98067496229261,0.7529122899014797,0.7463842458875024,0.794216027606712,0.8871517582598587,0.003333659665361338,0.0033697261914317107,0.0035375222499110003,0.004105779610254591,0.057631182605902366,0.05786726925046319,0.059290252658918206,0.0639258818150076
124,124,114.46220930232558,148.6891731112433,80.82592915214869,80.82592915214869,0.13496341179134053,0.13592458444192568,0.15959185206421478,0.18247577224108794,7.947965116279069,8.727543129089828,8.032558139534883,6.226916376306621,0.6929863367728275,0.6148900691718491,0.640326803113668,0.7861333047094465,0.0018147900892374262,0.001749219059927573,0.001982955313683072,0.0021863420164813896,0.04255346670836955,0.04175487608727116,0.0444381062374644,0.04665607784919353
125,125,164.9324363992172,162.8412517357667,79.64417057902973,79.64417057902973,0.11670431269140705,0.11505046613194236,0.13438463722918562,0.17842146138308504,9.507289628180036,9.575431462011505,8.206311154598824,6.188673708920188,0.70891940033423,0.7132179849076934,0.768591108823807,0.8591702826784116,0.0009638156257060903,0.0009379889114773637,0.0010466555734697709,0.0013228094057738892,0.031032844619778444,0.030613338735445184,0.03233788131045354,0.03634976761100576
126,126,430.90981432360735,287.5637860082304,240.4232804232804,240.4232804232804,0.09781878153880835,0.10002429391286616,0.1139851641577371,0.11819178082116845,14.51989389920424,11.85116598079561,11.514920424403183,10.62962962962963,0.4809787886968508,0.6670239869038789,0.657847962574827,0.7045811680512484,0.0015201858874684243,0.0016422330983119477,0.001696742044199283,0.0016908383723859902,0.03886911391698379,0.04040393749303883,0.04111919433382706,0.041019366419190226
127,127,139.40651260504205,165.87444444444444,142.08854166666666,142.08854166666666,0.1073964035116601,0.09500718268014408,0.10825420633306423,0.1181823276146825,9.29936974789916,9.896666666666665,9.95483193277311,9.155208333333334,0.2914879944403334,0.2129515935210476,0.2215451541087074,0.32476401490333195,0.0037890156062424974,0.0038617283950617273,0.0038066697267142152,0.003897569444444445,0.06148123443369377,0.06210566808267798,0.06165179239826832,0.062295273504738416
128,128,78.55131172839505,60.050000000000004,72.93346153846154,72.93346153846154,0.1837780856091395,0.20044601275546442,0.1786057740442818,0.18847360677148509,6.052083333333334,5.426800000000002,6.06327160493827,5.854230769230768,0.5072978544830329,0.630461248918037,0.4957284731521149,0.5395655010340117,0.004208700083828685,0.004385280000000002,0.004336705532693187,0.004297633136094673,0.06441279535015004,0.06579104469707403,0.06541345119102145,0.06513865249635219
129,129,53.541940789473685,37.496539792387544,32.8562091503268,32.8562091503268,0.16761866218078453,0.19821247021846203,0.20322302539996107,0.21568341514928205,5.6899671052631575,4.690311418685121,4.686677631578948,4.377450980392156,0.35955095575233803,0.5546111443025408,0.5979590544088854,0.6360484484900165,0.004389120931440442,0.004711389949832975,0.00440940962603878,0.004688367721816395,0.06611040745505761,0.0684549725263488,0.06626343431357898,0.06821541125620989
130,130,103.1902777777778,79.34615384615385,52.37912087912089,52.37912087912089,0.1120384103248276,0.11814026709805019,0.1682025769696528,0.1728484199075826,8.15138888888889,7.213017751479288,5.813888888888888,5.5686813186813175,0.27258369723054987,0.45774264130215503,0.5972270359358605,0.6379542073646246,0.004753086419753085,0.004840516788627849,0.00523533950617284,0.00532468904721652,0.06869885135413822,0.06945466683911526,0.07215605161933769,0.072672439526293
131,131,74.41193181818183,75.72839506172838,33.97222222222222,33.97222222222222,0.16074650941769716,0.18659693496329513,0.233770543868284,0.24507869278027047,6.28125,6.104938271604938,3.9375,3.9944444444444445,-0.38432520872673637,-0.3885148873403213,0.3644700439040103,0.26910240683633546,0.014236828512396695,0.014003200731595793,0.014123837809917356,0.014922839506172837,0.11794770039784605,0.11715706465663728,0.11752577400183561,0.12047649581180911
132,132,121.57045454545454,108.55103969754254,56.22871376811595,56.22871376811595,0.13029534321860212,0.13820718157361722,0.12816110722939983,0.16426646326857963,8.430454545454547,7.963137996219281,7.088181818181817,5.788496376811595,0.437990754116977,0.5167178273809319,0.6385156867139782,0.7465295006767573,0.0023198347107438026,0.0023477617647163916,0.0023107438016528935,0.002515556080655325,0.04793485151498887,0.04835134917958723,0.048008564819272785,0.05010934248775431
133,133,83.22407834101381,80.27764565992865,66.26321839080461,66.26321839080461,0.13572325280815156,0.14594860257838763,0.14187545407451968,0.157383060833638,7.068548387096776,6.807966706302022,7.30184331797235,6.201724137931034,0.6400546457366028,0.6558974118206646,0.5834236207361403,0.7096254036113764,0.002487477170889168,0.0025377113198290363,0.0025090453715305066,0.0026610186286167275,0.0497909643875642,0.05030032944846403,0.05003496742918301,0.05151993844596539
134,134,126.83238880918222,105.18573087530848,57.62281267928859,57.62281267928859,0.13521376384886646,0.14371321165922268,0.1541204339903165,0.1786303853081267,8.158931133428982,7.452315285237336,6.799175035868005,5.674304360298336,0.6942187659544939,0.7377554419556446,0.7864715053627065,0.8516284461907143,0.0008891483072565555,0.0009492013002314176,0.0009982112311628644,0.0011333111110123637,0.02961153922475677,0.03063285171397811,0.03143809804975518,0.03349703931829097
135,135,65.54020773451789,67.9949464922711,47.5460749738767,47.5460749738767,0.1905732167498821,0.1874414703747908,0.17712249553137374,0.21532253578497187,5.854487849490463,5.972882811467829,6.1989482623464855,4.987950626959248,0.8676242016256542,0.8625192851483521,0.8528201606942407,0.903386011182946,0.0016697622083242385,0.0015986975403859687,0.001577795525978584,0.0019050011075788698,0.04030530206342904,0.039449451432305466,0.039235328041081964,0.043148074873255525
136,136,255.25982142857146,322.4162075298439,248.82887700534758,248.82887700534758,0.15028724769689866,0.14825530431742795,0.14079498101556462,0.16405403681967223,10.004017857142857,11.039715335169879,11.912276785714289,9.224598930481287,0.7991388899267615,0.7541574230448066,0.6944470669994516,0.8060505102327963,0.002261041135204078,0.0020840342653515712,0.0020167012117346924,0.002300251651462721,0.04746338794196378,0.04558272723785871,0.044839694603673125,0.04791974309405831
137,137,190.52818181818185,197.50189035916824,179.16304347826087,179.16304347826087,0.11123395640953661,0.11868130509592745,0.10314078442259292,0.10968385074257223,10.161818181818182,9.96124763705104,11.721818181818183,10.113224637681158,0.6487538480061367,0.587090028744508,0.49784622983175575,0.6390365842094478,0.0017223140495867774,0.0017210666056796538,0.0015657024793388433,0.0016487312276832601,0.04104309475184591,0.041239471364583495,0.039247226855048056,0.04016031578086669
138,138,604.0825757575756,398.57986472424557,214.67389112903223,214.67389112903223,0.10062308839174379,0.1246165531625491,0.14992928571207917,0.15087548290119063,16.324494949494948,12.988293444328825,10.00732323232323,9.41179435483871,0.6005440229135195,0.7396678899839262,0.8284581454324167,0.8549632024529918,0.0017505866748291016,0.0019651691731969265,0.002285481073359863,0.002220892137096775,0.04140784886866922,0.043868449367458554,0.047268512290994776,0.04652944160884124
139,139,56.66666666666667,69.33673469387755,59.09821428571428,59.09821428571428,0.14985225775421004,0.1269004234863873,0.12067070611467892,0.15495277776213517,6.175925925925926,6.663265306122449,7.254629629629629,6.133928571428571,0.25007817148423167,0.10772714571044124,0.023495552268152375,0.23735765729276698,0.01178840877914952,0.013588088296543108,0.012002743484224965,0.012755102040816327,0.10839166056072852,0.11644010765467933,0.10950935845654686,0.1127354972472092
140,140,568.4271854575165,573.9942732194918,160.2915306122449,160.2915306122449,0.10722287240793645,0.10838641181885707,0.12008081891779347,0.14816750212200117,15.650837418300654,15.56195335276967,12.579248366013072,8.423367346938775,0.7455089909798571,0.7449762755204155,0.8303973646306747,0.9280880675467575,0.0011085563378401486,0.0010758177081914894,0.0011067207724593123,0.0012797167846730524,0.03273196432513739,0.03223341710739415,0.032687140750763066,0.03525068007359918
141,141,694.4571759259258,528.7624,216.05615384615382,216.05615384615382,0.08687187991749111,0.09593652738362354,0.12540550258274752,0.1318182713884593,18.837577160493826,16.3376,12.197916666666664,10.503076923076925,0.48570543953282586,0.6109977650087304,0.7682221897853978,0.8387278278030947,0.0014348517756439564,0.0016348799999999983,0.0020031364311842706,0.001944082840236687,0.03787829796552571,0.0404239028150379,0.04474814633439285,0.0440832692827077
142,142,316.18794642857137,220.1517447199265,82.58311051693406,82.58311051693406,0.14249796687951502,0.1627126122338866,0.22364071950629832,0.20707388514503605,11.832589285714285,9.875803489439853,5.821428571428572,6.118315508021394,0.5051767809626981,0.6610271344696853,0.8593076038522867,0.8676428556353388,0.0032736766581632614,0.0035884557234419504,0.0043208904655612215,0.004099861464598801,0.05694817067244596,0.05957275118500813,0.06530835843789318,0.06367750089873003
143,143,112.69861111111112,80.21893491124257,110.41758241758244,110.41758241758244,0.13732743772365258,0.20638866623989233,0.14524432916328958,0.15600684113301222,7.784722222222222,5.881656804733728,8.695833333333335,7.612637362637362,0.5413703572841623,0.7043187595220135,0.5412618527840558,0.6333516865283322,0.0066319444444444455,0.007230139000735265,0.006026234567901233,0.0065322726723825615,0.08123275152186055,0.08475832382895208,0.07746347120791147,0.08056772007223904
144,144,263.52941176470586,128.70102040816326,124.34761904761903,124.34761904761903,0.11751912728351085,0.1538109586979195,0.1452323579721648,0.14589870069933833,11.356120826709063,7.892448979591837,8.04054054054054,7.968650793650799,0.6628844811482343,0.8374496963992566,0.8371099218412447,0.8385711726083876,0.0019194326422185758,0.002082465639316951,0.001955687100174147,0.002040658856135048,0.04373764665128727,0.04552056754726037,0.04414570455376794,0.0450786605192797
145,145,195.40188953488374,211.18143961927424,186.8556910569105,186.8556910569105,0.10790943302885946,0.10516015008893607,0.09227706156599666,0.10479799649208804,10.121366279069768,10.54848304580607,11.86497093023256,9.939024390243901,0.7595890997401443,0.7428026378520554,0.6614668070980106,0.7691830315263918,0.0010443144943212542,0.0010226006374919872,0.0009806398729042725,0.001052892404235143,0.03227391479647143,0.031899353493363286,0.031235408163199464,0.03235269630225919
146,146,98.4361111111111,162.30325443786984,210.2293956043956,210.2293956043956,0.1274130910979573,0.10856908095146764,0.05960313055930816,0.10680001089913993,7.605555555555556,9.889053254437869,14.698611111111113,11.221153846153847,0.775160247543487,0.6088856285203839,0.21691062933095775,0.496988556526722,0.0047723765432098764,0.004315325093659186,0.003441358024691359,0.003747282936843377,0.06868170024754237,0.06566481584011283,0.058653497585854364,0.06117273205565625
147,147,265.2681094720496,298.1709609209805,215.0857980127309,215.0857980127309,0.14446404954415576,0.14797853987577078,0.13911166853997148,0.159645685510763,10.305881211180125,10.733925914323752,11.389382763975153,9.214465921440771,0.8553396728620802,0.8381699278083682,0.8175982536218867,0.8830815352340191,0.0010454903842444347,0.0010609739338252769,0.001015978387456116,0.0011392634446387492,0.03224012327772607,0.032484805815849296,0.03177874040365084,0.03365875338606325
148,148,1056.84,694.6791115311908,209.9533514492754,209.9533514492754,0.040728201750990754,0.055180894306711276,0.10477376971420736,0.102854712444442,24.76636363636364,19.348298676748588,10.614999999999998,10.695199275362317,0.5146189401652987,0.692362178930384,0.9044033730367208,0.9065392678611265,0.0010669421487603313,0.0011573536401027723,0.0013123966942148765,0.00126352131905062,0.03263520117348662,0.03397737463231457,0.036158481080848195,0.03550357586252799
149,149,44.54757742257742,42.121733366999116,26.09634831460674,26.09634831460674,0.20369688978711864,0.20058972550461376,0.20759351002779003,0.24554948024892903,4.800636863136863,4.816595126877919,4.631805694305693,3.7722534332084896,0.8729041762673679,0.8795569478450328,0.8892253932478746,0.9249859434549994,0.002831016776056113,0.0028165673903805897,0.002907504349421807,0.0033297427061366805,0.052888038014308025,0.05272811520099049,0.05356806307694724,0.057330616265734824
150,150,174.20972222222224,145.8032544378698,90.80219780219781,90.80219780219781,0.07461424400562866,0.0936981225053141,0.13753584957853987,0.11760447796133397,11.106944444444443,9.788461538461537,8.497222222222222,7.565934065934067,0.587440296239442,0.6294264675282658,0.688534672474578,0.7687614120518428,0.0035069444444444445,0.003912678127516544,0.003800154320987655,0.003735961840357446,0.05921679633840706,0.06252103948744235,0.06163386919399954,0.061109689175607274
151,151,69.13248532289627,59.744346359849224,26.10348200312989,26.10348200312989,0.1862946871536613,0.19743103328076422,0.22932383117806707,0.2737663849566546,5.994814090019569,5.592491569133108,4.516536203522505,3.657668231611893,0.5702958583310792,0.6228172023779394,0.74594055004525,0.8312100337829527,0.002524667682798397,0.0027319129340557984,0.003254018252074709,0.003663564098466649,0.049715008231423115,0.051746401611999435,0.056605702105538586,0.06019454248829253
152,152,132.37780898876403,117.98038049940547,87.10514629049112,87.10514629049112,0.14328416821089374,0.15153609057546624,0.14144688428141036,0.16391764507070003,8.162039456493336,7.717994451050339,8.113110791742876,6.734848484848485,0.8855998251578254,0.8982887045447274,0.8900989966394867,0.924457430531983,0.000773427380400383,0.000822204075873174,0.0007552994760523558,0.0008595529428159008,0.027789427707049914,0.028653712984724824,0.027461351923778028,0.029298354474921205
153,153,176.3399470899471,131.69252077562328,158.68618421052628,158.68618421052628,0.1193495527950631,0.11923752301780813,0.11838032623205477,0.14542473487081392,9.69973544973545,8.574792243767313,9.746031746031745,8.71907894736842,0.6285255095956938,0.6631047662181222,0.5375519901882633,0.5979662491557527,0.0025335236975448615,0.0028851835084138396,0.002586888664930993,0.002730263157894737,0.04998260398126737,0.05328515352771562,0.05054430317573731,0.05197983876786463
154,154,121.76735692771086,106.84720317024843,86.62658084914182,86.62658084914182,0.15545386406257605,0.15715464400920995,0.14640410739556037,0.1763960624988637,7.544691265060242,7.251638469745466,7.96340361445783,6.567863595302617,0.796274226533906,0.8216468225290374,0.7912626928017201,0.8545926728307904,0.0010957799571781105,0.0010944765107660582,0.001040959772826245,0.0012006596947096312,0.03309500342675012,0.03307391569808646,0.03225669642898631,0.034646525839191075
155,155,273.6159153346654,216.65840802928923,196.86563670411982,196.86563670411982,0.11177263021864065,0.11877310640480529,0.12166384642636945,0.14591663152929082,11.600181068931068,10.277016790809242,11.215628121878126,9.368882646691633,0.8491435444500265,0.8785703486401745,0.8409691850746319,0.8886004769239075,0.0006197754543159137,0.0006386745892611642,0.0006577677910251581,0.0007634865749897527,0.024324342108790146,0.0247895883836757,0.02521783082207721,0.02717955037119827
156,156,49.31363636363636,31.615311909262758,22.7794384057971,22.7794384057971,0.16816254455112015,0.21885745491644926,0.24828284753352045,0.25121978218617974,5.462727272727273,4.290170132325141,3.732727272727273,3.6326992753623193,0.14380074389723305,0.44211760229734753,0.5705480292070857,0.599832547897366,0.005435537190082645,0.005852430487312438,0.0064202479338842985,0.006174434861373661,0.07240815112231432,0.07495702484455805,0.07855529358939786,0.0772174932064433
